Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,2.38,135.37,0.00,0.00,2.04,56.96,1.47,143.87,31.09,95.49,5.12,98.05,0.00,150.70,0.00,0.00,3.57,2093799.13,0.01,0.44
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.40
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,99.60
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.40
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,99.60
nvme0n1,244.00,976.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.40
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,99.60
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.40
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,99.60
nvme0n1,243.00,972.00,0.00,0.00,4.11,4.00,1.00,2048.00,0.00,0.00,3.00,2048.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.40
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,99.60
nvme0n1,245.00,980.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.40
nvme0n1,243.00,972.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,99.60
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,2.00,12.00,1.00,33.33,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,100.40
nvme0n1,244.00,976.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,1.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,245.00,980.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,99.60
nvme0n1,245.00,980.00,0.00,0.00,4.08,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.40
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,99.60
nvme0n1,244.00,976.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.40
nvme0n1,244.00,976.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,99.60
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.40
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.11,4.00,1.00,2048.00,0.00,0.00,3.00,2048.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,99.60
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,245.00,980.00,0.00,0.00,4.07,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,242.00,968.00,0.00,0.00,4.12,4.00,2.00,12.00,1.00,33.33,5.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.08,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,1.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,243.00,972.00,0.00,0.00,4.10,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
nvme0n1,244.00,976.00,0.00,0.00,4.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00
