Device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
nvme0n1,1012.05,5089.31,0.00,0.00,0.41,5.03,12.93,1239.04,0.42,3.12,58.90,95.85,0.00,1698.62,0.00,0.00,5.44,2093799.13,1.17,3.18
nvme0n1,4141.00,268924.00,0.00,0.00,0.19,64.94,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,100.00
nvme0n1,4154.00,274320.00,0.00,0.00,0.19,66.04,1.00,2048.00,0.00,0.00,0.00,2048.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4203.00,268556.00,0.00,0.00,0.19,63.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4142.00,267832.00,0.00,0.00,0.19,64.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4214.00,270056.00,0.00,0.00,0.19,64.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4094.00,275596.00,0.00,0.00,0.19,67.32,2.00,16.00,2.00,50.00,2.50,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,100.00
nvme0n1,4203.00,266588.00,0.00,0.00,0.19,63.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4165.00,268892.00,0.00,0.00,0.19,64.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,1126.00,71796.00,0.00,0.00,0.83,63.76,8702.00,839608.00,0.00,0.00,0.20,96.48,0.00,0.00,0.00,0.00,0.00,0.00,2.66,100.00
nvme0n1,147.00,9000.00,0.00,0.00,6.63,61.22,10808.00,1044396.00,1.00,0.01,0.45,96.63,0.00,0.00,0.00,0.00,0.00,0.00,5.83,100.00
nvme0n1,162.00,10240.00,0.00,0.00,6.18,63.21,10721.00,1026948.00,1.00,0.01,0.24,95.79,0.00,0.00,0.00,0.00,0.00,0.00,3.57,100.00
nvme0n1,108.00,6428.00,0.00,0.00,9.23,59.52,10967.00,1060672.00,0.00,0.00,0.29,96.71,0.00,0.00,0.00,0.00,0.00,0.00,4.17,100.00
nvme0n1,133.00,7236.00,0.00,0.00,7.41,54.41,11194.00,1071840.00,1.00,0.01,1.28,95.75,0.00,0.00,0.00,0.00,0.00,0.00,15.34,99.60
nvme0n1,153.00,10268.00,0.00,0.00,6.47,67.11,10852.00,1048872.00,0.00,0.00,0.24,96.65,0.00,0.00,0.00,0.00,0.00,0.00,3.54,100.00
nvme0n1,106.00,7180.00,0.00,0.00,9.36,67.74,10976.00,1055992.00,0.00,0.00,0.26,96.21,0.00,0.00,0.00,0.00,0.00,0.00,3.80,100.00
nvme0n1,154.00,9600.00,0.00,0.00,6.43,62.34,10871.00,1045136.00,2.00,0.02,0.25,96.14,0.00,0.00,0.00,0.00,0.00,0.00,3.66,100.00
nvme0n1,3879.00,250140.00,0.00,0.00,0.21,64.49,828.00,77824.00,0.00,0.00,0.18,93.99,0.00,0.00,0.00,0.00,0.00,0.00,0.96,100.00
nvme0n1,4240.00,279448.00,0.00,0.00,0.19,65.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4211.00,273624.00,0.00,0.00,0.18,64.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4249.00,271132.00,0.00,0.00,0.18,63.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4199.00,277924.00,0.00,0.00,0.19,66.19,2.00,16.00,2.00,50.00,2.50,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4187.00,272220.00,0.00,0.00,0.19,65.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4276.00,267244.00,0.00,0.00,0.18,62.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4225.00,270584.00,0.00,0.00,0.18,64.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4215.00,273044.00,0.00,0.00,0.18,64.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4227.00,268228.00,0.00,0.00,0.18,63.46,2.00,12.00,1.00,33.33,2.50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,100.00
nvme0n1,4299.00,271556.00,0.00,0.00,0.18,63.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,100.00
nvme0n1,4310.00,272984.00,0.00,0.00,0.18,63.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
nvme0n1,4230.00,272836.00,0.00,0.00,0.18,64.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,100.00
